id_req,id_frame,id_task
CR3A,61A,0512
CR3A,61A,0513
CR3A,61A,0514
CR3A,61A,0701
CR3A,61A,0702
CR3A,61A,0703
CR3A,61A,0717
CR3A,61B,0512
CR3A,61B,0513
CR3A,61B,0514
CR3A,61B,0701
CR3A,61B,0702
CR3A,61B,0703
CR3A,61B,0717
CR3B,61A,0462
CR3B,61A,0477
CR3B,61A,0512
CR3B,61A,0513
CR3B,61A,0514
CR3B,61A,0701
CR3B,61A,0702
CR3B,61A,0703
CR3B,61A,0717
CR3B,61A,0918
CR3B,61A,0922
CR3B,61A,0961
CR3B,61A,0962
CR3B,61A,0965
CR3B,61A,0968
CR3B,61A,1047
CR3B,61A,1104
CR3B,61A,1105
CR3B,61A,1214
CR3B,61A,A019
CR3B,61A,A035
CR3B,61A,A062
CR3B,61A,A210
CR3B,61B,0462
CR3B,61B,0477
CR3B,61B,0512
CR3B,61B,0513
CR3B,61B,0514
CR3B,61B,0701
CR3B,61B,0702
CR3B,61B,0703
CR3B,61B,0717
CR3B,61B,0918
CR3B,61B,0922
CR3B,61B,0961
CR3B,61B,0962
CR3B,61B,0965
CR3B,61B,0968
CR3B,61B,1047
CR3B,61B,1104
CR3B,61B,1105
CR3B,61B,1214
CR3B,61B,A019
CR3B,61B,A035
CR3B,61B,A062
CR3B,61B,A210
CR3C,61A,0512
CR3C,61A,0513
CR3C,61A,0514
CR3C,61A,0701
CR3C,61A,0702
CR3C,61A,0703
CR3C,61A,0717
CR3C,61B,0512
CR3C,61B,0513
CR3C,61B,0514
CR3C,61B,0701
CR3C,61B,0702
CR3C,61B,0703
CR3C,61B,0717
CR3D,61A,0512
CR3D,61A,0513
CR3D,61A,0514
CR3D,61A,0701
CR3D,61A,0702
CR3D,61A,0703
CR3D,61A,0717
CR3D,61B,0512
CR3D,61B,0513
CR3D,61B,0514
CR3D,61B,0701
CR3D,61B,0702
CR3D,61B,0703
CR3D,61B,0717
CR3E,61A,0512
CR3E,61A,0513
CR3E,61A,0514
CR3E,61A,0701
CR3E,61A,0702
CR3E,61A,0703
CR3E,61A,0717
CR3E,61B,0512
CR3E,61B,0513
CR3E,61B,0514
CR3E,61B,0701
CR3E,61B,0702
CR3E,61B,0703
CR3E,61B,0717
CR3F,61A,0512
CR3F,61A,0513
CR3F,61A,0514
CR3F,61A,0701
CR3F,61A,0702
CR3F,61A,0703
CR3F,61A,0717
CR3F,61B,0512
CR3F,61B,0513
CR3F,61B,0514
CR3F,61B,0701
CR3F,61B,0702
CR3F,61B,0703
CR3F,61B,0717
CR3G,71E,0512
CR3G,71E,0513
CR3G,71E,0514
CR3G,71E,0701
CR3G,71E,0702
CR3G,71E,0703
CR3G,71E,0717
CR3G,71EA,0512
CR3G,71EA,0513
CR3G,71EA,0514
CR3G,71EA,0701
CR3G,71EA,0702
CR3G,71EA,0703
CR3G,71EA,0717
CR3H,71E,0512
CR3H,71E,0513
CR3H,71E,0514
CR3H,71E,0701
CR3H,71E,0702
CR3H,71E,0703
CR3H,71E,0717
CR3H,71EA,0512
CR3H,71EA,0513
CR3H,71EA,0514
CR3H,71EA,0701
CR3H,71EA,0702
CR3H,71EA,0703
CR3H,71EA,0717
CR3J,91E,0512
CR3J,91E,0513
CR3J,91E,0514
CR3J,91E,0701
CR3J,91E,0702
CR3J,91E,0703
CR3J,91E,0717
CR3L,7FA.02,0512
CR3L,7FA.02,0513
CR3L,7FA.02,0722
CR3L,7FA.02,1214
CR3L,7FA.03,0512
CR3L,7FA.03,0513
CR3L,7FA.03,0722
CR3L,7FA.03,1214
CR3M,7FA.01,0512
CR3M,7FA.01,0513
CR3M,7FA.02,0512
CR3M,7FA.02,0513
CR3M,7FA.03,0512
CR3M,7FA.03,0513
CR3N,7FA.02,0512
CR3N,7FA.02,0513
